Issue Type,Summary,Description,Status,Resolution,Story Points,Epic Name,Parent,Labels,Comment
Epic,MedLog Sprint 1 - Secure Patient Record Vault (MVP),"Sprint 1 delivers the MedLog MVP: a patient can create an account, upload their medical documents, have them stored securely, and see their whole health record on one dashboard.

Scope of this epic is the patient-facing vault only. Doctor access, analytics and reminders are Sprint 2 and are tracked separately.

Delivered as a frontend-only prototype: React 19 + Vite + TypeScript, with the API mocked in the browser over localStorage and encryption performed with the Web Crypto API. No server and no database, so the increment deploys as static files and needs no infrastructure for the sprint review.",Done,Done,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),,sprint-1,
Story,Patient can self-register for a MedLog account,"As a patient
I want to create my own MedLog account
So that I can start storing my medical records without waiting for an administrator.

Registration captures name, email and password, with optional date of birth and blood group. Password is never stored in readable form - only a salted PBKDF2-SHA256 hash (210,000 iterations). Email is normalised to lowercase so the same address cannot be registered twice in different cases.

h3. Acceptance criteria

Given I am a new visitor on the registration page
When I submit my full name, a valid email and a password of at least 8 characters
Then my account is created, I am signed in automatically, and I land on my dashboard.

Given I enter a password shorter than 8 characters
When I submit the form
Then the account is not created and I see the message ""Password must be at least 8 characters"".

Given I enter an email that is not a valid address
When I submit the form
Then the account is not created and I see the message ""A valid email address is required"".

Given an account already exists for asha.rao@medlog.test
When I try to register with ASHA.RAO@MEDLOG.TEST
Then registration is rejected with ""An account with this email already exists"".

Given I have registered successfully
When the stored account data is inspected
Then my password does not appear anywhere in readable form.",Done,Done,3,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Registered a new patient with name, email, password, DOB 1994-03-12 and blood group O+ - account created and redirected straight to the dashboard, no manual sign-in needed.

Negative cases confirmed: 6-character password rejected with the expected message; ""not-an-email"" rejected; re-registering the same address in uppercase rejected with EMAIL_TAKEN (409).

Checked the stored data in DevTools (Application > Local Storage): medlog.users holds only passwordSalt and passwordHash, and a search for the password string returns nothing.

Automated coverage in mock/api.test.ts: ""creates a patient, signs them in, and never stores the password"", ""rejects a weak password and a bad email together"", ""rejects a duplicate email"". All green."
Story,Patient can sign in and stay signed in across a page reload,"As a returning patient
I want to sign in and stay signed in when I refresh
So that I do not have to re-authenticate every time the page reloads.

Sign-in re-derives the record encryption key from the password, so the key is never persisted from the registration step alone. Failures return a single generic message that does not reveal whether the email exists.

h3. Acceptance criteria

Given I have an existing account
When I sign in with the correct email and password
Then I am taken to my dashboard and greeted by name.

Given I am signed in
When I refresh the browser
Then I remain signed in and my records are still listed.

Given I have an existing account
When I sign in with the wrong password
Then I see ""Invalid email or password"" and remain on the sign-in page.

Given no account exists for the email I enter
When I attempt to sign in
Then I see the same ""Invalid email or password"" message, so the response does not reveal whether that email is registered.

Given I am signed in
When I choose Sign out
Then I am returned to the sign-in page and my session no longer restores on reload.",Done,Done,3,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Signed in with valid credentials - landed on the dashboard with the ""Hello, Asha"" greeting and all 5 records listed. Hard-refreshed the page: session restored with no re-prompt.

Confirmed the error messages are identical for a wrong password and for an unregistered email, so no account enumeration through the login form.

Signed out and refreshed - correctly returned to the sign-in page with no session restore.

Automated coverage in mock/api.test.ts: ""signs in with the right password"", ""rejects a wrong password without saying which field failed"", ""rejects an unknown email with the same message"", ""rejects reads once signed out"". All green."
Story,Patient can upload a medical record with metadata,"As a patient
I want to upload a document and describe it
So that my records are searchable and meaningful later instead of being a pile of files.

Accepts PDF, JPEG, PNG, WebP and plain text up to 1.5 MB. Metadata captured: title, record type (7 categories), record date, hospital or clinic, and free-text notes. The title is pre-filled from the filename to reduce typing.

h3. Acceptance criteria

Given I have chosen a valid file and filled in a title, type and record date
When I submit the upload form
Then the record is stored, I see a confirmation naming the record, and the form resets ready for the next upload.

Given I choose a file before typing a title
When the file is selected
Then the title is pre-filled from the filename so I can accept or edit it.

Given I choose a file larger than 1.5 MB
When the file is selected
Then I am told the file is too large and no upload is attempted.

Given I choose an unsupported file type such as an .exe
When I submit the form
Then the upload is rejected with ""Unsupported file type"" and nothing is stored.

Given I submit the form without choosing a file
When I press Upload record
Then I see ""Choose a file to upload."" and no record is created.

Given I submit a record date that is not in YYYY-MM-DD format
When the form is submitted
Then the record is rejected and the specific field error is shown to me.",Done,Done,5,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Uploaded allergy-panel.txt with type Lab report, date 2026-08-10 and hospital ""Allergy & Immunology Clinic"". Confirmation read: ""allergy-panel"" was encrypted and stored. Dashboard count went 4 to 5 and the record appeared at the top of Recent uploads with all metadata correct.

Title pre-fill works: selecting blood-panel.txt populated the title as ""blood-panel"" and remained editable.

Negative cases confirmed: an 11 MB file was blocked in the browser before any storage write; an .exe was rejected as an unsupported type; submitting with no file showed the expected prompt; a date entered as 01-07-2026 came back as a field-level validation error.

Automated coverage in mock/api.test.ts and UploadRecordForm.test.tsx: 6 upload tests plus 5 form tests, including ""rejects an oversized file before touching storage"" and ""posts the metadata with the file and reports success"". All green."
Story,Uploaded records are encrypted before being written to storage,"As a patient
I want my documents encrypted before they are stored
So that my medical history is not sitting in readable form on the device.

Files are encrypted with AES-256-GCM using a key derived from the patient's password via PBKDF2-SHA256 (210,000 iterations, OWASP guidance). A fresh 12-byte IV is generated per record - never reused. A SHA-256 checksum of the plaintext is stored and re-verified on every read, and GCM's authentication tag means a tampered blob fails to open rather than returning corrupt data.

Known and documented limitation: with no server, the derived key must persist in localStorage next to the ciphertext, so this is not a real protection boundary. It demonstrates the Sprint 1 data flow and the Sprint 2 backend takes over key custody. The README states plainly that real patient data must not be used.

h3. Acceptance criteria

Given I upload a record containing recognisable text
When I inspect the stored data in browser DevTools
Then the stored blob is base64 ciphertext and the original text does not appear anywhere in storage.

Given I upload the same file content twice
When I compare the two stored records
Then their initialisation vectors and ciphertexts differ, confirming the IV is not reused.

Given a stored record
When I open it as its owner
Then it decrypts to exactly the bytes I uploaded.

Given a stored ciphertext has been altered by a single byte
When I try to open that record
Then the authentication check fails and the record refuses to open rather than returning corrupt data.

Given a stored record's checksum no longer matches its decrypted content
When I try to open it
Then I am told the record failed its integrity check and it is not opened.",Done,Done,8,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Uploaded a text record containing ""Haemoglobin: 13.4 g/dL"", then inspected Application > Local Storage: the medlog.blob.* value was base64 ciphertext beginning xMBBrgHYVvaCs76... and a search across every medlog.* value for ""Haemoglobin"" returned no match. Downloading the same record returned the original text byte for byte.

Uploaded identical content twice and confirmed different IVs and different ciphertexts.

Tamper case verified by flipping one byte of a stored ciphertext - the record refused to open instead of returning garbage. Same result when the auth tag or IV was swapped between records.

Automated coverage in mock/crypto.test.ts (8 tests) and mock/api.test.ts: ""never writes the file contents into localStorage"", ""decrypts back to the exact bytes for the owner"", ""refuses to open a record whose ciphertext was tampered with"", ""fails closed under the wrong key"". All green.

Note for the team: the key-in-localStorage limitation is documented in the README and architecture doc, and is carried into Sprint 2. Flagging it here so it is not mistaken for a defect."
Story,"Record metadata is encrypted, not only the attached file","Raised during Sprint 1 testing of the storage story.

Only the attached file was being encrypted. Record titles, hospital names, notes and original filenames were being written to storage in readable form - so a record titled ""Oncology discharge summary"" from ""Tata Memorial Hospital"" disclosed the sensitive part of the history even though the attachment itself was encrypted. Both the dashboard copy and the README claimed no readable data was stored, which was inaccurate.

Fix: title, provider name, notes and filename are encrypted into a single metadata blob per record. Only the fields the dashboard must index stay readable - record type, record date, size, MIME type and timestamps. Search now decrypts in memory and then filters, so filtering still works against encrypted data.

h3. Acceptance criteria

Given I upload a record with a sensitive title, hospital name and notes
When I inspect the stored data in browser DevTools
Then none of that text appears anywhere in storage.

Given my records are stored with encrypted metadata
When I view my record list
Then every title, hospital and note is displayed correctly, having been decrypted for display.

Given I search for part of a hospital name
When the search runs against encrypted metadata
Then the matching record is returned, confirming search still works.

Given records exist that were written by the previous build with readable metadata
When I open the app after the update
Then the old data is cleared rather than failing to decrypt, and I am returned to the sign-in page.",Done,Done,3,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Uploaded a record titled ""Oncology discharge summary"" from ""Tata Memorial Hospital"" with notes ""Chemotherapy cycle 3 completed"", then searched every medlog.* value in local storage for each of those strings and for the filename - no matches. The medlog.records index now holds only id, ownerId, recordType, recordDate, mimeType, sizeBytes, createdAt and the encrypted blob references.

Display path confirmed: all 5 record titles, hospitals and notes render correctly in the list and on the dashboard.

Search against encrypted metadata confirmed: typing ""immunology"" returned exactly the one record from ""Allergy & Immunology Clinic"".

Upgrade path confirmed: with data written by the previous build still present, opening the app cleared it and returned to sign-in with no console errors, rather than throwing decryption failures.

Automated coverage in mock/api.test.ts: ""never writes the record metadata into localStorage either"", ""filters by type and searches title and provider"", ""clears data written by an older build instead of failing to decrypt it"". All green."
Story,Patient sees a dashboard summarising their health record,"As a patient
I want an at-a-glance view of my record
So that I know what I have stored without scrolling through every document.

The dashboard shows records stored, total encrypted volume, number of categories used, date of last upload, and browser storage consumption with a progress bar. Below it sit the upload form and the five most recent uploads.

h3. Acceptance criteria

Given I have uploaded several records
When I open my dashboard
Then I see the total number of records, the combined size, how many categories I have used, and the date of my most recent upload.

Given I have not uploaded anything yet
When I open my dashboard
Then the counters read zero, the last-upload date shows a dash, and I am invited to upload my first record.

Given I upload a new record from the dashboard
When the upload completes
Then the summary figures and the recent-uploads list update immediately without a page refresh.

Given I am storing data in the browser
When I look at the dashboard
Then I can see what percentage of the available browser storage I have used.",Done,Done,5,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. With 5 records the dashboard read: Records stored 5, Encrypted volume 377 B, Categories used 4, Last upload Aug 10 2026, Browser storage 0% (4.3 KB of 5.0 MB).

Empty state confirmed on a fresh account: all counters zero, last upload showed a dash, and the empty-state prompt appeared with the sample-records shortcut.

Live update confirmed: uploaded a record and the count moved 4 to 5 with the new row appearing at the top of Recent uploads, no refresh required.

Earlier build showed a ""Most common: Imaging"" tile that was misleading when every category was tied at one record - raised during review and replaced with ""Categories used"". Re-tested and correct.

Automated coverage in mock/api.test.ts and SummaryCards.test.tsx: ""aggregates the dashboard figures"", ""returns zeroes for a patient with no records"", ""reports browser storage usage as a percentage of the budget"". All green."
Story,"Patient can browse, filter and search their records","As a patient
I want to filter and search my records
So that I can find a specific document without reading the whole list.

The records page lists everything newest first, with a category filter and a debounced free-text search across title and hospital name. Search runs over decrypted metadata in memory.

h3. Acceptance criteria

Given I have records in several categories
When I select a single category from the filter
Then only records of that category are listed.

Given I have a record from ""Allergy & Immunology Clinic""
When I search for ""immunology""
Then that record is listed and unrelated records are not.

Given I search for a term that matches nothing
When the search runs
Then I see a message telling me no records match these filters.

Given I have records dated across several months
When I open the records page
Then they are listed with the most recent record date first.

Given I am typing in the search box
When I type several characters quickly
Then the list does not re-query on every keystroke, so typing stays responsive.",Done,Done,5,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Category filter: selecting Prescription narrowed 5 records to 1; All types restored the full list.

Search by hospital: ""immunology"" returned exactly the one record from ""Allergy & Immunology Clinic"", which also proves search works against encrypted metadata. Search by title: ""blood"" returned the Complete blood count record.

No-match case: ""allergyallergy"" produced an empty list with the expected message.

Ordering confirmed: records listed Aug 10, Jul 14, Jun 18, May 02, Feb 11 - newest record date first.

Debounce confirmed by typing quickly - the list settled once rather than flickering per keystroke.

Automated coverage in mock/api.test.ts: ""filters by type and searches title and provider"", ""orders newest record date first"". All green."
Story,Patient can download a stored record,"As a patient
I want to download a record
So that I can take it to an appointment or share it outside the app.

Download decrypts in memory, verifies the SHA-256 checksum, and hands the result to the browser as a blob with the original filename restored. Nothing is written to a URL, so no token or content leaks through the address bar.

h3. Acceptance criteria

Given I own a stored record
When I choose Download
Then the file is saved with its original filename and its contents match what I uploaded.

Given a record's stored data is missing
When I choose Download
Then I am told the stored file is missing rather than receiving an empty file.

Given a download fails for any reason
When the error occurs
Then I see a clear message on the page and the record stays in my list.",Done,Done,3,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Downloaded the allergy panel record - the file arrived as allergy-panel.txt with the original content intact, and the Content-Disposition carried the original filename. No error banner shown, console clean.

Round-trip verified independently by reading the record back through the app: the decrypted output matched the uploaded text exactly.

Missing-data case verified by removing a stored blob and retrying - the app reported ""The stored file is missing"" instead of producing a zero-byte download.

Automated coverage in mock/api.test.ts and RecordList.test.tsx: ""decrypts back to the exact bytes for the owner"", ""reports a missing blob rather than returning empty data"", ""downloads a record on demand"". All green."
Story,Patient can delete a record,"As a patient
I want to delete a record
So that I stay in control of what is stored about me.

Deletion asks for confirmation, then removes both the index entry and the encrypted blob so nothing is orphaned.

h3. Acceptance criteria

Given I own a record
When I choose Delete and confirm
Then the record disappears from my list and its encrypted data is removed from storage.

Given I choose Delete
When I cancel the confirmation prompt
Then nothing is deleted.

Given deletion fails
When the error occurs
Then I see a clear message and the record remains in my list.",Done,Done,2,,MedLog Sprint 1 - Secure Patient Record Vault (MVP),sprint-1,"Tested on the running build. Deleted a record after confirming - it vanished from the list, the dashboard count decreased, and the corresponding medlog.blob.* entry was gone from local storage, so no orphaned ciphertext.

Cancel path confirmed: dismissing the confirmation left the record in place and made no storage change.

Failure path confirmed with a simulated error - the message ""Could not delete that record."" appeared and the row stayed in the list.

Automated coverage in mock/api.test.ts and RecordList.test.tsx: ""removes the record and its ciphertext"", ""deletes a record only after confirmation"", ""surfaces a delete failure without removing the row"". All green."
